คณะวิศวกรรมศาสตร์,4123,3192,2648,3224,2459
คณะครุศาสตร์อุตสาหกรรม,937,1685,535,764,1285
คณะเทคโนโลยีการเกษตร,2329,1621,1469,1123,1405
คณะวิทยาศาสตร์,2228,3997,2971,1631,1787
คณะอุตสาหกรรมเกษตร,1210,607,1092,682,563
อื่นๆ,1032,1188,1316,1068,1044
all,11859,12290,10031,8492,8543
