คณะวิศวกรรมศาสตร์ กลุ่มไฟฟ้า (วิศวกรรมโทรคมนาคม วิศวกรรมไฟฟ้า อิเล็กทรอนิกส์),970,200,200,20307.5,17517.5,18399.0028,676.4921
 คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมสารสนเทศ,414,85,85,19487.15,15997.4,16751.5871,649.4033
 คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมคอมพิวเตอร์,304,40,40,21205,18987.4,19597.84,484.7376
 คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมเครื่องกล,445,40,40,20457.5,18022.45,18684.3838,604.8297
คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมอุตสาหกรรม,402,35,35,19657.5,17195,17940.2686,669.321
คณะวิศวกรรมศาสตร์ สาขาวิชาศวกรรมเกษตร,149,60,60,18025,14532.4,15262.805,600.1579
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอาหาร,96,30,30,19255,16152.5,16964.58,834.3234
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมเคมี,279,15,15,20600,19595,19964.4033,327.4496
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมโยธา,388,40,40,18775,17332.15,17877.735,362.209
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมระบบควบคุม,154,40,40,17987.5,15834.9,16520.9413,578.296
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมวัดคุม,230,40,40,19630,16464.95,17161.9113,748.1966
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมแมคคาทรอนิกส์,195,40,40,20262.45,16807.5,17655.0425,776.9151
คณะวิศวกรรมศาสตร์ สาขาวิชาวิศวกรรมอัตโนมัติ,97,40,40,18044.95,15182.4,16048.9925,708.6946
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาภาษาญี่ปุ่น,111,25,25,21186.4,18205,19036.224,722.9853
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาภาษาอังกฤษ,318,25,25,22005,20520,20994.364,369.5277
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์วิศวกรรม(5 ปี),94,35,35,19747.5,16659.4,18012.5271,661.2872
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาสถาปัตยกรรม(5 ปี),110,15,15,19925,18186.5,18594.92,471.2276
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์ออกแบบสภาพแวกล้อมภายใน(5 ปี),86,15,15,20175,17432.5,18117.9733,715.3682
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์การออกแบบ (5 ปี),121,25,25,20970,7080.1,17922.132,882.5316
คณะครุศาสตร์อุตสาหกรรม สาขาวิชาครุศาสตร์เกษตรร(5 ปี),97,10,10,18682.5,17387.1,17885.665,447.2973
คณะเทคโนโลยีการเกษตร สาขาวิชาพืชไร่,251,80,80,14739.1,10800.2,12328.1863,1018.6878
คณะเทคโนโลยีการเกษตร สาขาวิชาปฐพีวิทยา,137,35,35,15194.1,12432.4,13086.8829,612.9463
คณะเทคโนโลยีการเกษตร สาขาวิชาพืชสวน,201,80,80,16107.5,10661.4,12514.1031,1206.8858
คณะเทคโนโลยีการเกษตร  สาขาวิชาเทคโนโลยีกรจัดการศัตรูพืช,103,80,46,14247.5,7549.7,11978.0891,1689.4687
คณะเทคโนโลยีการเกษตรสาขาวิชา สัตวศาสตร์,554,80,80,16481.6,14040,14792.3075,570.6665
คณะเทคโนโลยีการเกษตร สาขาวิชาวิยาการการประมง,404,80,80,15330,13220.3,13815.9775,452.6326
คณะเทคโนโลยีการเกษตร สาขาวิชาพัฒนาการเกษตร,126,35,35,15018,12535,13499.7657,662.9545
คณะเทคโนโลยีการเกษตร สาขาวิชาการจัดการทรัพยาการดินและสิ่งแวดล้อม,348,30,30,17905,13841.6,14544.0167,782.442
คณะเทคโนโลยีการเกษตร สาขาวิชานิเทศศาสตร์เกษตร,205,30,30,15707.5,13760,14503.04,588.1439
คณะวิทยาศาสตร์ สาขาวิชาคณิตศาสตร์ประยุกต์,97,60,55,16865,10271,13837.0264,1287.3523
คณะวิทยาศาสตร์ สาขาวิชาวิทยาการคอมพิวเตอร์,429,60,60,17210,14760,15385.4983,545.9967
คณะวิทยาศาสตร์ สาขาวิชาเคมีอุตสาหกรรม,614,100,100,18382.5,14945.6,15783.9805,746.7884
คณะวิทยาศาสตร์ สาขาวิชาเคมีสิ่งแวดล้อม,114,60,60,16817.5,12142.8,14070.0333,1149.8023
คณะวิทยาศาสตร์ สาขาวิชาเทคโนโลยีชีวภาพ,192,60,60,16882.5,14009.1,14658.2958,646.0018
คณะวิทยาศาสตร์ สาขาวิชาจุลชีววิทยาอุตสาหกรรม,269,60,60,16505,14466.6,15140.813,563.1143
คณะวิทยาศาสตร์ สาขาวิชาฟิสิกส์ประยุกต์,386,100,100,15202.5,12844.3,13647.8805,586.5205
คณะวิทยาศาสตร์ สาขาวิชาสถิติประยุกต์,127,60,60,17395,12317.7,14130.1642,928.1854
คณะอุสาหกรรมเกษตร สาขาวิชาอุสาหกรรมเกษตร,626,45,45,17504.65,16040,16614.6922,350.7674
คณะอุสาหกรรมเกษตร สาขาวิชาเทคโนโลยีการหมัก,374,55,55,16459.1,14253.2,14867.7073,493.5631
คณะอุสาหกรรมเกษตร สาขาวิชาวิศวกรรมแปรรูปอาหาร,210,45,45,18217.5,15282.8,16045.9211,659.3947
คณะเทคโนโลยีสารสนเทศ สาขาวิชาเทคโนโลยีสารสนเทศ,488,25,25,18626.6,15503.3,16334.634,812.7592
วิทยาลัยนานาชาติ สาขาวิชาวิสวกรรมซอฟต์แวร์ (หลักสูตรนานาชาติ),68,30,30,17078.75,1220.2,14206.5917,1285.8904
วิทยาลัยการบริหารและจัดการ สาขาวิชาบริหารธุรกิจเกษตร,190,90,90,16862.5,13953.4,15111.1322,782.7492
วิทยาลัยการบริหารและจัดการ สาขาวิชาเทคโนโลยีการจัดการ,286,42,42,18940,15977.5,16549.2429,584.5141
