คณะวิศวกรรมศาสตร์,1482,160,1322
สถาปัตยกรรมศาสตร์,556,0,556
คณะครุศาสตร์อุตสาหกรรม,483,138,345
คณะเทคโนโลยีการเกษตร,594,350,244
คณะวิทยาศาสตร์,1357,310,1047
คณะอุตสาหกรรมเกษตร,232,135,97
อื่นๆ,494,66,428
